profile_field_ccosto,CECO,CALIFICACIÓN,ESTATUS,TOTAL QUEJAS (NO.),ROTACION MENSUAL %,ROTACION ROLLING %
4611776,11776,76,No aprobado,0,0,44.44
4611159,11159,93,Aprobado,5,5.88,60.34
4611207,11207,93,Aprobado,62,8,65.31
4611211,11211,89,Aprobado,58,20,172.25
4611289,11289,87,Aprobado,30,0,37.07
4611442,11442,83,Aprobado,27,17.65,106.05
4611476,11476,81,Aprobado,28,0,125.37
4611480,11480,85,Aprobado,28,4.17,48.48
4611566,11566,88,Aprobado,23,0,126.61
4611869,11869,86,Aprobado,1,14.29,47.52
4612349,12349,84,Aprobado,14,23.08,272.73
4611165,11165,91,Aprobado,27,5,67.2
4611625,11625,88,Aprobado,23,7.14,120.75
4611017,11017,97,Destacado,12,4,54.71
4611626,11626,97,Destacado,29,0,87.93
4611058,11058,82,Aprobado,24,5.88,122.79
4611290,11290,84,Aprobado,17,5,54.77
4611580,11580,93,Aprobado,22,17.65,51.92
4612308,12308,96,Destacado,7,0,92.31
4611168,11168,97,Destacado,28,4.35,129.62
4611184,11184,96,Destacado,34,5,54.14
4611190,11190,95,Destacado,27,0,38.25
4611239,11239,96,Destacado,24,0,80
4611257,11257,85,Aprobado,40,10,66.95
4611314,11314,95,Destacado,14,8.33,79.12
4611461,11461,81,Aprobado,19,0,31.34
4611778,11778,91,Aprobado,0,42.86,208.16
4611012,11012,77,No aprobado,29,5.56,154.84
4611143,11143,82,Aprobado,68,21.43,127.37
4611345,11345,92,Aprobado,38,4.76,106.33
4611844,11844,81,Aprobado,10,6.25,86.96
4611939,11939,91,Aprobado,38,25,152.38
4612321,12321,81,Aprobado,86,21.43,326.4
4611154,11154,90,Aprobado,68,8.7,109.09
4611193,11193,88,Aprobado,39,4,94.62
4611242,11242,97,Destacado,17,12.5,170.56
4611306,11306,92,Aprobado,17,0,20.69
4611477,11477,82,Aprobado,31,5.88,255.48
4611548,11548,83,Aprobado,12,23.08,117.24
111021,11021,81,Aprobado,43,4.55,61.94
111172,11172,93,Aprobado,29,0,25.62
111335,11335,95,Destacado,110,0,115.79
111530,11530,81,Aprobado,37,26.67,146.34
111286,11286,89,Aprobado,15,14.29,93.33
112343,12343,88,Aprobado,37,0,142.22
111019,11019,90,Aprobado,14,13.04,39.22
111061,11061,83,Aprobado,18,5.26,30.32
111307,11307,87,Aprobado,20,9.09,62.69
111334,11334,91,Aprobado,10,0,61.54
111342,11342,93,Aprobado,39,29.41,88.59
111382,11382,96,Destacado,15,0,32.94
111574,11574,84,Aprobado,6,11.76,100
111630,11630,85,Aprobado,7,4.55,38.71
111865,11865,98,Destacado,9,0,31.58
112350,12350,93,Aprobado,9,0,119.01
111098,11098,90,Aprobado,66,7.69,129.23
111036,11036,82,Aprobado,19,5.88,115.51
111197,11197,94,Aprobado,25,0,59.46
111339,11339,95,Destacado,30,0,57.89
111634,11634,85,Aprobado,18,5.88,120.63
111913,11913,83,Aprobado,69,30,139.64
112319,12319,84,Aprobado,41,17.65,171.43
112320,12320,88,Aprobado,18,0,59.67
111601,11601,87,Aprobado,33,0,187.01
111470,11470,89,Aprobado,26,13.64,44.61
112402,12402,74,No aprobado,5,0,203.39
911138,11138,93,Aprobado,26,11.11,113.21
911260,11260,86,Aprobado,13,5.88,62.18
911281,11281,95,Destacado,10,7.69,37.97
911421,11421,98,Destacado,15,12.5,141.94
911525,11525,92,Aprobado,14,21.43,131.34
911904,11904,89,Aprobado,15,22.22,133.33
911074,11074,91,Aprobado,47,8.7,106.67
911231,11231,67,No aprobado,64,4.35,77.25
911341,11341,80,Aprobado,42,6.25,81.95
911423,11423,90,Aprobado,46,6.67,93.26
911606,11606,90,Aprobado,47,0,204.4
912309,12309,94,Aprobado,44,5.88,106.08
912324,12324,90,Aprobado,11,0,75.47
911047,11047,89,Aprobado,24,36.36,134.76
911648,11648,98,Destacado,54,0,123.53
911316,11316,93,Aprobado,34,12.5,123.87
911500,11500,90,Aprobado,28,6.25,75
4911105,11105,92,Aprobado,18,13.33,104.05
4911252,11252,84,Aprobado,29,0,138.69
4911349,11349,83,Aprobado,17,0,126.92
4911515,11515,90,Aprobado,63,44.44,258.33
211031,11031,92,Aprobado,17,16.67,138.29
211091,11091,93,Aprobado,9,55.56,150.9
211275,11275,95,Destacado,3,11.76,79.65
211294,11294,96,Destacado,6,4.35,84.21
211305,11305,93,Aprobado,34,25,141.18
211315,11315,91,Aprobado,16,22.22,110.34
211532,11532,92,Aprobado,21,21.43,172.5
211602,11602,96,Destacado,9,41.67,209.64
211638,11638,96,Destacado,9,4.35,116.73
211014,11014,87,Aprobado,17,37.5,109.09
211090,11090,84,Aprobado,14,12.5,152.6
211312,11312,94,Aprobado,10,8.7,51.99
211469,11469,71,No aprobado,20,26.32,115.6
211491,11491,94,Aprobado,5,6.67,90.81
211900,11900,95,Destacado,2,0,91.3
211238,11238,91,Aprobado,16,13.33,177.99
211253,11253,96,Destacado,8,16.67,110.87
211389,11389,94,Aprobado,6,0,152.49
211394,11394,85,Aprobado,13,11.11,91.53
211481,11481,89,Aprobado,7,7.69,96.55
211522,11522,91,Aprobado,7,23.08,153.19
211577,11577,95,Destacado,11,12.5,106.81
4911180,11180,83,Aprobado,68,18.18,252.23
4911302,11302,95,Destacado,45,0,211.32
4911439,11439,93,Aprobado,130,6.25,145.26
4911486,11486,92,Aprobado,20,15.79,83.95
4911615,11615,94,Aprobado,73,6.67,93.85
4911942,11942,97,Destacado,2,50,178.22
211296,11296,89,Aprobado,10,15.38,134.91
211035,11035,90,Aprobado,10,14.29,118.75
211605,11605,85,Aprobado,28,5.88,67.01
211295,11295,93,Aprobado,25,10.53,143.36
211612,11612,96,Destacado,15,28.57,68.79
211854,11854,87,Aprobado,1,0,98.97
4811287,11287,88,Aprobado,7,4.55,125.37
4811573,11573,87,Aprobado,8,23.53,89.47
4811030,11030,93,Aprobado,40,20,175.38
4811323,11323,88,Aprobado,16,17.65,214.49
4811370,11370,88,Aprobado,33,17.65,194.59
4811381,11381,89,Aprobado,19,5.88,60.61
4811575,11575,90,Aprobado,35,12.5,103.94
4811864,11864,93,Aprobado,40,0,100
4811119,11119,92,Aprobado,19,4.35,61.42
4811216,11216,94,Aprobado,28,3.85,46.6
4811466,11466,94,Aprobado,17,4.76,75.34
4811498,11498,91,Aprobado,17,12,85.11
4811646,11646,90,Aprobado,6,22.22,85.31
4811798,11798,92,Aprobado,17,5.56,112.5
4811875,11875,87,Aprobado,2,9.09,123.81
4811160,11160,93,Aprobado,12,10,111.63
4811191,11191,92,Aprobado,29,0,89.8
4811285,11285,94,Aprobado,24,20,128.34
4811324,11324,86,Aprobado,53,6.67,158.62
4811430,11430,90,Aprobado,22,5.26,72.73
4811459,11459,95,Destacado,12,27.27,111.48
4811109,11109,93,Aprobado,24,12.5,78.18
4811205,11205,95,Destacado,9,28.57,209.84
4811226,11226,96,Destacado,19,15,88.03
4811232,11232,95,Destacado,48,15,166.67
4811331,11331,91,Aprobado,9,4.76,75.56
4811479,11479,91,Aprobado,11,17.65,110.6
4811621,11621,97,Destacado,9,16.67,188.37
4811831,11831,92,Aprobado,4,0,152.73
4811861,11861,95,Destacado,7,0,58.15
4811040,11040,95,Destacado,23,0,71.89
4811262,11262,92,Aprobado,23,5,73.17
4811351,11351,97,Destacado,29,0,46.83
4811845,11845,98,Destacado,1,0,72.41
4811898,11898,91,Aprobado,8,0,93.75
4811332,11332,87,Aprobado,17,4.55,82.93
4811640,11640,93,Aprobado,6,7.14,91.3
4811956,11956,91,Aprobado,1,8.33,152.38
4811039,11039,84,Aprobado,11,0,100.8
4811128,11128,96,Destacado,28,4.17,65.31
4811411,11411,90,Aprobado,17,4.76,58.15
1211002,11002,94,Aprobado,25,22.73,147.95
1211221,11221,88,Aprobado,31,44.44,137.63
1211247,11247,82,Aprobado,11,12.5,101.41
1211432,11432,92,Aprobado,24,21.43,222.22
1211457,11457,85,Aprobado,15,4.55,79.72
1211473,11473,84,Aprobado,54,44.44,188.98
1211482,11482,86,Aprobado,8,0,143.28
1211511,11511,93,Aprobado,9,13.33,120.55
1211519,11519,90,Aprobado,34,25,195.22
1211619,11619,96,Destacado,7,5.88,60.5
1212323,12323,81,Aprobado,48,18.18,159.66
1211122,11122,82,Aprobado,9,0,36.05
1211202,11202,89,Aprobado,17,0,26.82
1211350,11350,94,Aprobado,11,0,44.81
1211368,11368,89,Aprobado,25,0,94.32
1211464,11464,91,Aprobado,13,4.76,65.55
1211465,11465,97,Destacado,19,5.56,65.35
1211474,11474,96,Destacado,18,25,80
1211006,11006,92,Aprobado,1,6.25,70.59
1211455,11455,99,Destacado,30,6.67,66.67
1211518,11518,95,Destacado,16,0,73.35
1211603,11603,98,Destacado,35,5.88,69.42
1211645,11645,93,Aprobado,11,3.57,74.56
1211647,11647,98,Destacado,38,20,116
1211770,11770,84,Aprobado,27,13.33,200
1211032,11032,96,Destacado,13,0,91.43
1211224,11224,74,No aprobado,21,10.53,86.88
1211367,11367,92,Aprobado,15,18.75,79.25
1211557,11557,96,Destacado,23,11.11,122.45
1212338,12338,94,Aprobado,7,13.33,144
1212351,12351,95,Destacado,32,25,193.55
